Home,Home Score,Away Score,Away
Brunei U19,0,2,Vietnam U19
Zhejiang Professional,0,0,Dalian Pro
FC Tokyo,0,0,Hokkaido Consadole Sapporo
Iwata,0,0,Avispa Fukuoka
Kashima Antlers,0,0,Cerezo Osaka
Kashiwa Reysol,0,1,Nagoya Grampus
Shonan Bellmare,0,0,Gamba Osaka
Vissel Kobe,1,0,Shimizu S-Pulse
Yokohama F. Marinos,0,0,Sanfrecce Hiroshima
Urawa Reds,0,0,Kyoto
Grulla Morioka,0,1,Ryukyu
Albirex Niigata,1,1,Chiba
Kanazawa,1,0,Kusatsu
Kumamoto,0,1,Tokushima
Machida,2,0,Mito
Okayama,1,0,Omiya Ardija
Renofa Yamaguchi,0,0,Oita Trinita
Tochigi SC,0,0,Verdy
V-Varen Nagasaki,1,1,Montedio Yamagata
Vegalta Sendai,1,0,Kofu
Yokohama FC,0,0,Blaublitz
Marijampole City,1,1,BE1 NFA
Incheon,0,0,Suwon FC
Suwon Bluewings,0,1,Daegu
Seoul,0,0,Jeonbuk
Jeonnam,0,1,Gyeongnam
Anyang,0,0,Asan
Busan,0,0,Gimpo FC
Vasas (Hun),3,1,Komarno (Svk)
Liberec (Cze),1,1,Dukla Prague (Cze)
Mlada Boleslav (Cze),4,0,FK Pardubice (Cze)
MTK Budapest (Hun),3,0,III. Keruleti TVE (Hun)
Opava (Cze),3,0,GKS Jastrzebie (Pol)
Pruszkow (Pol),5,1,Pogon Siedlce (Pol)
Sigma Olomouc (Cze),2,0,Jihlava (Cze)
Zalaegerszegi (Hun),2,2,Slask Wroclaw (Pol)
Zizkov (Cze),1,1,Varnsdorf (Cze)
Estonia U17 W,2,1,Lithuania U17 W
